Sl. No.,Company Name,Finance_Year,Ownership Type,Incorporation Year,Sales-Total Revenue,DICOP -Direct Indirect Cost of Production,VAE-Value Added Expenditure,OP-Operating Profit,TC-Total Cost,GP-Gross Profit,Arms Length Price/Transfer Price Indicator,Other Operating Income/Sales,Advertising & Marketing Sales
48,A C E Edutrend Ltd.,201403,Indian Private Sector,1993,23.07,1.43,20.34,1.30,21.77,21.64,6%,100.00%,0%
49,A C E Exports Ltd.,201403,Indian Private Sector,1990,11.47,8.20,3.00,0.27,11.20,3.27,2%,,0%
50,A C E Stonecraft Ltd.,201403,Indian Private Sector,1992,,0.02,0.11,-0.13,0.13,-0.02,,,0%
51,A C E Tours Worldwide Ltd.,201403,Indian Private Sector,2007,15.45,12.72,2.26,0.47,14.98,2.73,3%,100.00%,4%
52,A C I Infocom Ltd.,201403,Indian Private Sector,1982,,-1.09,1.36,-0.27,0.27,1.09,,,0%
53,A C I L Ltd.,201309,Indian Private Sector,1997,646.14,423.29,98.48,124.37,521.77,222.85,19%,0.00%,1%
54,A D C India Communications Ltd.,201403,Foreign Private Sector,1988,48.52,35.52,11.59,1.41,47.11,13.00,3%,4.72%,31%
55,A D F Foods Ltd.,201403,Indian Private Sector,1990,142.03,64.31,62.49,15.23,126.80,77.72,11%,0.00%,43%
56,A D Hydro Power Ltd.,201403,Indian Private Sector,2003,204.77,2.91,185.79,16.07,188.70,201.86,8%,,3%
57,A D S Diagnostic Ltd.,201403,Indian Private Sector,1984,7.33,4.10,3.02,0.21,7.12,3.23,3%,25.51%,8%
58,A F C O Industrial & Chemicals Ltd.,201403,Indian Private Sector,1963,0.47,0.14,0.39,-0.06,0.53,0.33,-13%,,0%
59,A F Enterprises Ltd.,201403,Indian Private Sector,1983,5.19,5.03,0.23,-0.07,5.26,0.16,-1%,1.73%,1%
60,A G C Networks Ltd.,201403,Indian Private Sector,1986,312.07,172.14,268.61,-128.68,440.75,139.93,-41%,38.19%,3%
61,A G L Industries Ltd.,201403,Indian Private Sector,2013,12.82,12.50,0.02,0.30,12.52,0.32,2%,0.00%,0%
62,A H A Parks Ltd.,201403,Indian Private Sector,2002,,,0.00,0.00,0.00,,,,0%
63,A H W Steels Ltd.,201403,Indian Private Sector,1941,580.24,562.67,5.34,12.23,568.01,17.57,2%,0.00%,1%
64,A I A Engineering Ltd.,201403,Indian Private Sector,1991,1783.72,960.08,402.62,421.02,1362.70,823.64,24%,,8%
65,A I C Properties Ltd.,201403,Indian Private Sector,2009,,,,,,,,,0%
66,A I Champdany Inds. Ltd.,201403,Indian Private Sector,1917,335.36,185.75,143.71,5.90,329.46,149.61,2%,0.00%,9%
67,A I S Glass Solutions Ltd.,201403,Indian Private Sector,2004,46.96,30.86,22.39,-6.29,53.25,16.10,-13%,0.43%,12%
68,A Infrastructure Ltd.,201403,Indian Private Sector,1980,263.87,168.20,86.11,9.56,254.31,95.67,4%,0.96%,0%
69,A J Enterprises Ltd.,201403,Indian Private Sector,1984,0.27,0.08,0.34,-0.15,0.42,0.19,-56%,0.00%,11%
70,A K C Steel Inds. Ltd.,201403,Indian Private Sector,1957,34.60,31.15,3.44,0.01,34.59,3.45,0%,3.29%,1%
71,A K Capital Services Ltd.,201403,Indian Private Sector,1993,89.16,0.23,43.60,45.33,43.83,88.93,51%,0.00%,8%
72,A K Spintex Ltd.,201403,Indian Private Sector,1994,39.54,14.05,23.39,2.10,37.44,25.49,5%,,3%
73,A M C L Machinery Ltd.,201403,Indian Private Sector,1974,20.44,13.01,6.59,0.84,19.60,7.43,4%,6.56%,0%
74,A M D Estates & Developers Pvt. Ltd.,201403,Indian Private Sector,2005,11.34,4.78,4.37,2.19,9.15,6.56,19%,101.76%,10%
75,A M D Industries Ltd.,201403,Indian Private Sector,1983,181.17,112.71,50.78,17.68,163.49,68.46,10%,24.26%,8%
76,A M L Steel & Power Ltd.,201403,Indian Private Sector,2004,47.94,40.98,9.91,-2.95,50.89,6.96,-6%,,0%
77,A M L Steel Ltd.,201403,Indian Private Sector,1993,126.48,104.16,17.63,4.69,121.79,22.32,4%,,4%
78,A M R India Ltd.,201403,Indian Private Sector,2001,677.44,493.43,194.81,-10.80,688.24,184.01,-2%,99.29%,0%
79,A M R L Hitech City Ltd.,201403,Indian Private Sector,2000,2.79,-12.64,4.59,10.84,-8.05,15.43,389%,100.00%,16%
80,A M Realtors Pvt. Ltd.,201403,Indian Private Sector,2010,,,,,,,,,0%
81,A M Textiles & Knitwears Ltd.,201403,Indian Private Sector,2007,37.53,36.39,0.40,0.74,36.79,1.14,2%,0.00%,1%
82,A M W Motors Ltd.,201403,Indian Private Sector,2011,838.49,723.48,151.67,-36.66,875.15,115.01,-4%,1.53%,14%
83,A M-Tech Packs Ltd.,201403,Indian Private Sector,2000,6.23,3.88,3.00,-0.65,6.88,2.35,-10%,,16%
84,A N G Industries Ltd.,201403,Indian Private Sector,1991,157.12,97.54,44.18,15.40,141.72,59.58,10%,4.37%,6%
85,A N S Inds. Ltd.,201403,Indian Private Sector,1994,5.96,2.81,2.34,0.81,5.15,3.15,14%,1.01%,3%
86,A N S Steel Tubes Ltd.,201403,Indian Private Sector,2007,119.00,91.54,16.16,11.30,107.70,27.46,9%,1.75%,2%
87,A P D L Estates Ltd.,201403,Foreign Private Sector,1988,1.92,-99.81,100.53,1.20,0.72,101.73,63%,100.00%,0%
88,A P L Apollo Tubes Ltd.,201403,Indian Private Sector,1986,2006.92,1850.87,72.57,83.48,1923.44,156.05,4%,0.10%,1%
89,A P L Engineering Services Pvt. Ltd.,201403,Indian Private Sector,2008,1.37,0.46,1.36,-0.45,1.82,0.91,-33%,62.04%,9%
90,A P L Healthcare Ltd.,201403,Indian Private Sector,2006,,0.00,,0.00,0.00,0.00,,,0%
91,A P L Infotech Ltd.,201403,Indian Private Sector,2001,0.01,,0.37,-0.36,0.37,0.01,-3600%,,0%
92,A P L Research Centre Ltd.,201403,Indian Private Sector,2006,,0.00,,0.00,0.00,0.00,,,0%
93,A P M Industries Ltd.,201403,Indian Private Sector,1973,301.95,194.66,75.98,31.31,270.64,107.29,10%,0.03%,4%
94,A P M Investments Ltd.,201403,Indian Private Sector,1980,,,0.02,-0.02,0.02,,,,0%
95,A P Steel Re-Rolling Mill Ltd.,201403,Indian Private Sector,1992,38.84,28.89,9.20,0.75,38.09,9.95,2%,,0%
96,A P T Packaging Ltd.,201403,Indian Private Sector,1980,26.23,12.44,12.83,0.96,25.27,13.79,4%,0.00%,6%
97,A R I Consolidated Invsts. Pvt. Ltd.,201403,Indian Private Sector,1943,1.38,0.15,1.04,0.19,1.19,1.23,14%,,2%
98,A R Infrastructure Pvt. Ltd.,201403,Indian Private Sector,2005,,,,,,,,,0%
99,A R Login 4 Edu Pvt. Ltd.,201403,Indian Private Sector,2013,,,0.02,-0.02,0.02,,,,0%
100,A R Paradise Pvt. Ltd.,201403,Indian Private Sector,2004,,,0.00,0.00,0.00,,,,0%
101,A R S S Bus Terminal Pvt. Ltd.,201403,Indian Private Sector,2010,,,,,,,,,0%
102,A R S S Infrastructure Projects Ltd.,201403,Indian Private Sector,2000,891.43,276.26,449.80,165.37,726.06,615.17,19%,101.12%,0%
103,A S M Technologies Ltd.,201403,Indian Private Sector,1992,105.88,0.12,90.11,15.65,90.23,105.76,15%,98.61%,2%
104,A S Raiment Pvt. Ltd.,201403,Indian Private Sector,2011,0.02,0.01,0.06,-0.05,0.07,0.01,-250%,0.00%,0%
105,A T L Textile Processors Ltd.,201403,Indian Private Sector,1996,,,,,,,,,0%
106,A T N International Ltd.,201403,Indian Private Sector,1983,0.30,,1.64,-1.34,1.64,0.30,-447%,83.33%,40%
107,A T O (I) Ltd.,201403,Indian Private Sector,1983,75.68,0.06,72.91,2.71,72.97,75.62,4%,100.00%,1%
108,A T R Infrastructure Pvt. Ltd.,201403,Indian Private Sector,2003,22.73,,7.43,15.30,7.43,22.73,67%,100.00%,0%
109,A T S Elgi Ltd.,201403,Indian Private Sector,2007,125.36,83.04,33.90,8.42,116.94,42.32,7%,2.32%,14%
110,A T S L Infrastructure Projects Ltd.,201312,Indian Private Sector,2007,,,,,,,,,0%
111,A T V Projects India Ltd.,201403,Indian Private Sector,1987,56.01,43.39,11.77,0.85,55.16,12.62,2%,0.00%,0%
112,A V I Photochem Ltd.,201403,Indian Private Sector,1989,1.86,0.59,0.49,0.78,1.08,1.27,42%,0.00%,19%
113,A V I Polymers Ltd.,201403,Indian Private Sector,1993,0.96,0.65,0.30,0.01,0.95,0.31,1%,11.46%,5%
114,A V T Natural Products Ltd.,201403,Indian Private Sector,1986,274.43,125.10,74.88,74.45,199.98,149.33,27%,3.35%,4%
115,A V Thomas & Co. Ltd.,201403,Indian Private Sector,1937,634.88,521.21,80.13,33.54,601.34,113.67,5%,1.15%,18%
116,A V Thomas Intl. Ltd.,201403,Indian Private Sector,1941,6.54,6.01,0.66,-0.13,6.67,0.53,-2%,5.66%,0%
117,Aabad Real Estates Ltd.,201403,Indian Private Sector,2007,,,,,,,,,0%
118,Aadhaar Ventures India Ltd.,201403,Indian Private Sector,1995,16.36,16.49,0.26,-0.39,16.75,-0.13,-2%,0.00%,0%
119,Aadhaar Wholesale Trdg. & Distribution Ltd.,201403,Indian Private Sector,2006,131.96,130.34,16.85,-15.23,147.19,1.62,-12%,0.08%,2%
120,Aadhira Developers Pvt. Ltd.,201403,Indian Private Sector,2006,,,,,,,,,0%
121,Aadi Industries Ltd.,201403,Indian Private Sector,1994,,0.00,21.44,-21.44,21.44,0.00,,,0%
122,Aaess Tradelinks Pvt. Ltd.,201403,Indian Private Sector,1995,0.16,0.09,0.07,0.00,0.16,0.07,0%,,25%
123,Aagam Capital Ltd.,201403,Indian Private Sector,1991,0.00,,0.08,-0.08,0.08,0.00,,,0%
124,Aakar Leasing & Financial Services Ltd.,201403,Indian Private Sector,1984,,,,,,,,,0%
125,Aan Engineering Inds. Ltd.,201403,Indian Private Sector,2010,,,0.12,-0.12,0.12,,,,0%
126,Aananda Lakshmi Spg. Mills Ltd.,201403,Indian Private Sector,2013,111.79,79.62,29.98,2.19,109.60,32.17,2%,,7%
127,Aanchal Ispat Ltd.,201403,Indian Private Sector,1996,190.17,179.47,5.75,4.95,185.22,10.70,3%,0.00%,0%
128,Aapurti Finance Ltd.,201403,Indian Private Sector,1988,0.00,,2.75,-2.75,2.75,0.00,,,0%
129,Aar Kay Steel Products Ltd.,201403,Indian Private Sector,1990,0.12,0.00,0.07,0.05,0.07,0.12,42%,100.00%,0%
130,Aarcon Facilities Ltd.,201403,Indian Private Sector,1993,0.02,0.01,0.16,-0.15,0.17,0.01,-750%,0.00%,0%
131,Aarey Drugs & Pharmaceuticals Ltd.,201403,Indian Private Sector,1990,199.57,195.44,3.36,0.77,198.80,4.13,0%,0.02%,1%
132,Aarifi Tanners Ltd.,201403,Indian Private Sector,1996,0.00,,0.03,-0.03,0.03,0.00,,,0%
133,Aarti Corporate Services Ltd.,201403,Indian Private Sector,1995,,0.01,0.01,-0.02,0.02,-0.01,,,0%
134,Aarti Drugs Ltd.,201403,Indian Private Sector,1984,969.94,668.15,179.64,122.15,847.79,301.79,13%,,6%
135,Aarti Industries Ltd.,201403,Indian Private Sector,1984,2633.06,1665.62,654.96,312.48,2320.58,967.44,12%,0.21%,13%
136,Aarti International Ltd.,201403,Indian Private Sector,1993,807.49,505.49,192.72,109.28,698.21,302.00,14%,0.00%,3%
137,Aarti Steels Ltd.,201403,Indian Private Sector,1979,1121.37,756.47,304.64,60.26,1061.11,364.90,5%,0.00%,5%
138,Aarvee Denims & Exports Ltd.,201403,Indian Private Sector,1988,685.64,432.92,215.25,37.47,648.17,252.72,5%,0.75%,4%
139,Aarya Global Shares & Securities Ltd.,201403,Indian Private Sector,1986,,,0.37,-0.37,0.37,,,,0%
140,Aarzoo Technobuild Pvt. Ltd.,201403,Indian Private Sector,2008,0.00,0.00,,0.00,0.00,0.00,,,0%
141,Aashee Infotech Ltd.,201403,Indian Private Sector,1987,7.04,6.89,0.13,0.02,7.02,0.15,0%,0.00%,0%
142,Aasheesh Securities Ltd.,201403,Indian Private Sector,1994,,,0.01,-0.01,0.01,,,,0%
143,Aashirwad Malls Pvt. Ltd.,201403,Indian Private Sector,2004,0.00,0.00,0.54,-0.54,0.54,0.00,,,0%
144,Aastha Broadcasting Network Ltd.,201403,Indian Private Sector,1981,1.08,0.00,1.45,-0.37,1.45,1.08,-34%,100.00%,0%
145,Aasthan Dates Ltd.,201403,Indian Private Sector,2010,,,0.01,-0.01,0.01,,,,0%
146,Aaswa Trading & Exports Ltd.,201403,Indian Private Sector,1984,2.60,2.60,0.05,-0.05,2.65,0.00,-2%,0.00%,0%
147,Aayush Food & Herbs Ltd.,201403,Indian Private Sector,1984,0.03,0.00,0.05,-0.02,0.05,0.03,-67%,0.00%,0%
148,Aban Energies Ltd.,201403,Indian Private Sector,1997,1.10,,2.01,-0.91,2.01,1.10,-83%,100.00%,0%
149,Aban Offshore Ltd.,201403,Indian Private Sector,1986,819.94,48.89,429.34,341.71,478.23,771.05,42%,99.45%,1%
150,Abbott India Ltd.,201403,Foreign Private Sector,1944,2272.26,1313.35,712.13,246.78,2025.48,958.91,11%,1.16%,16%
151,Abdos Polymers Ltd.,201403,Indian Private Sector,1994,33.81,24.22,8.14,1.45,32.36,9.59,4%,0.30%,6%
152,Abellon Cleanenergy Ltd.,201306,Indian Private Sector,2008,94.95,41.74,34.35,18.86,76.09,53.21,20%,0.02%,9%
153,Abellon Cleanenergy Ltd.,201403,Indian Private Sector,2008,57.83,24.80,22.79,10.24,47.59,33.03,18%,0.10%,9%
154,Abhashree Projects Ltd.,201403,Indian Private Sector,1983,2.54,1.65,0.41,0.48,2.06,0.89,19%,35.04%,0%
155,Abhay Drugs Ltd.,201403,Indian Private Sector,2006,,,,,,,,,0%
156,Abheek Builders Pvt. Ltd.,201403,Indian Private Sector,2006,0.00,0.00,,0.00,0.00,0.00,,,0%
157,Abhijit Trading Co. Ltd.,201403,Indian Private Sector,1982,,,0.01,-0.01,0.01,,,,0%
158,Abhinav Capital Services Ltd.,201403,Indian Private Sector,1994,0.00,0.01,0.17,-0.18,0.18,-0.01,,,0%
159,Abhinav Leasing & Finance Ltd.,201403,Indian Private Sector,1984,,,0.21,-0.21,0.21,,,,0%
160,Abhinav Steels & Power Ltd.,201403,Indian Private Sector,1987,207.28,153.03,82.21,-27.96,235.24,54.25,-13%,,20%
161,Abhishek Corporation Ltd.,201403,Indian Private Sector,1993,22.88,24.99,26.19,-28.30,51.18,-2.11,-124%,,0%
162,Abhishek Finlease Ltd.,201403,Indian Private Sector,1995,,,0.16,-0.16,0.16,,,,0%
163,Abilities India Pistons & Rings Ltd.,201306,Indian Private Sector,1960,25.83,11.51,12.35,1.97,23.86,14.32,8%,1.47%,5%
164,Abirami Financial Services (India) Ltd.,201403,Indian Private Sector,1993,0.27,0.03,0.60,-0.36,0.63,0.24,-133%,0.00%,11%
165,Absolute Aromatics Ltd.,201403,Indian Private Sector,1993,,,0.24,-0.24,0.24,,,,0%
166,Abu Dhabi Commercial Bank,201403,Foreign Private Sector,1980,12.15,,46.08,-33.93,46.08,12.15,-279%,,4%
167,Accel Frontline Ltd.,201403,Indian Private Sector,1995,299.92,126.05,147.87,26.00,273.92,173.87,9%,55.47%,2%
168,Accel Transmatic Ltd.,201403,Indian Private Sector,1986,1.40,0.02,6.06,-4.68,6.08,1.38,-334%,72.14%,4%
169,Accelya Kale Solutions Ltd.,201306,Indian Private Sector,1986,262.58,0.59,161.35,100.64,161.94,261.99,38%,98.39%,12%
170,Accentia Technologies Ltd.,201403,Indian Private Sector,1991,39.08,0.17,46.35,-7.44,46.52,38.91,-19%,99.95%,0%
171,Access Global Ltd.,201403,Indian Private Sector,1982,0.09,0.00,0.06,0.03,0.06,0.09,33%,100.00%,0%
172,Accounts Receivables Mgmt. Services (India) Ltd.,201306,Indian Private Sector,2007,,,,,,,,,0%
173,Accounts Receivables Mgmt. Services (India) Ltd.,201403,Indian Private Sector,2007,,,,,,,,,0%
174,Accurate Transformers Ltd.,201403,Indian Private Sector,1988,200.08,150.82,15.16,34.10,165.98,49.26,17%,0.00%,2%
175,Ace Infoworld Pvt. Ltd.,201403,Indian Private Sector,1996,,,0.08,-0.08,0.08,,,,0%
176,Ace Software Exports Ltd.,201403,Indian Private Sector,1994,4.70,-0.24,5.13,-0.19,4.89,4.94,-4%,100.00%,1%
177,Achal Investments Ltd.,201403,Indian Private Sector,1980,,0.03,0.22,-0.25,0.25,-0.03,,,0%
178,Acil Cotton Inds. Ltd.,201403,Indian Private Sector,1994,0.53,0.51,0.10,-0.08,0.61,0.02,-15%,0.00%,0%
179,Acknit Industries Ltd.,201403,Indian Private Sector,1990,134.48,99.55,28.71,6.22,128.26,34.93,5%,0.02%,4%
180,Ackruti Safeguard Systems Pvt. Ltd.,201403,Indian Private Sector,1999,2.03,0.35,1.72,-0.04,2.07,1.68,-2%,,0%
181,Acme Advertisements Pvt. Ltd.,201403,Indian Private Sector,2006,1.50,,1.48,0.02,1.48,1.50,1%,100.00%,2%
182,Acoris Research Ltd.,201403,Indian Private Sector,2000,,,0.01,-0.01,0.01,,,,0%
183,Acorn Engineering Ltd.,201403,Indian Private Sector,1978,,,,,,,,,0%
184,Acropetal Technologies Ltd.,201403,Indian Private Sector,2001,118.33,1.15,180.71,-63.53,181.86,117.18,-54%,90.04%,0%
185,Acrow India Ltd.,201403,Indian Private Sector,1960,0.04,0.11,1.03,-1.10,1.14,-0.07,-2750%,25.00%,75%
186,Acrysil Appliances Ltd.,201403,Indian Private Sector,2013,,,0.04,-0.04,0.04,,,,0%
187,Acrysil Ltd.,201403,Indian Private Sector,1987,103.72,53.76,35.92,14.04,89.68,49.96,14%,0.00%,25%
188,Acrysil Steel Ltd.,201403,Indian Private Sector,2010,9.23,5.23,2.91,1.09,8.14,4.00,12%,,8%
189,Actif Corporation Ltd.,201403,Indian Private Sector,2006,323.32,309.80,56.46,-42.94,366.26,13.52,-13%,,1%
190,Action Commodities Ltd.,201403,Indian Private Sector,2009,0.08,,0.08,0.00,0.08,0.08,0%,100.00%,0%
191,Action Construction Equipment Ltd.,201403,Indian Private Sector,1995,614.94,445.66,160.36,8.92,606.02,169.28,1%,0.13%,13%
192,Action Developers Ltd.,201403,Indian Private Sector,2008,,,0.00,0.00,0.00,,,,0%
193,Action Financial Services (India) Ltd.,201403,Indian Private Sector,1992,1.45,,3.37,-1.92,3.37,1.45,-132%,0.00%,31%
194,Action Securities Ltd.,201403,Indian Private Sector,2007,0.07,,0.04,0.03,0.04,0.07,43%,100.00%,0%
195,Active Securities Ltd.,201403,Indian Private Sector,1995,0.00,0.01,5.13,-5.14,5.14,-0.01,,,0%
196,Acumen Capital Market (India) Ltd.,201403,Indian Private Sector,1995,7.44,0.08,8.23,-0.87,8.31,7.36,-12%,,16%
197,Acute Realty Pvt. Ltd.,201403,Indian Private Sector,2005,1.05,,0.06,0.99,0.06,1.05,94%,100.00%,0%
198,Ada Cellworks Wireless Engg. Pvt. Ltd.,201403,Indian Private Sector,2004,0.68,,0.44,0.24,0.44,0.68,35%,0.00%,0%
199,Adani Agri Fresh Ltd.,201403,Indian Private Sector,2004,213.38,152.20,42.38,18.80,194.58,61.18,9%,0.00%,13%
200,Adani Agri-Logistics Ltd.,201403,Indian Private Sector,2005,93.68,0.57,46.76,46.35,47.33,93.11,49%,99.54%,0%
201,Adani Energy Ltd.,201403,Indian Private Sector,2001,0.00,,0.76,-0.76,0.76,0.00,,,0%
202,Adani Ennore Container Terminal Pvt. Ltd.,201403,Indian Private Sector,2014,,,0.01,-0.01,0.01,,,,0%
203,Adani Enterprises Ltd.,201403,Indian Private Sector,1993,11853.55,10121.90,2580.94,-849.29,12702.84,1731.65,-7%,1.17%,25%
204,Adani Gas Ltd.,201403,Indian Private Sector,2005,1536.02,1296.55,123.75,115.72,1420.30,239.47,8%,,1%
205,Adani Hazira Port Pvt. Ltd.,201403,Indian Private Sector,2009,266.45,5.40,212.23,48.82,217.63,261.05,18%,100.00%,0%
206,Adani Hospitals Mundra Pvt. Ltd.,201403,Indian Private Sector,2013,,,,,,,,,0%
207,Adani Infra (India) Ltd.,201403,Indian Private Sector,2010,268.35,154.00,104.85,9.50,258.85,114.35,4%,100.00%,0%
208,Adani Kandla Bulk Terminal Pvt. Ltd.,201403,Indian Private Sector,2012,0.00,0.00,0.03,-0.03,0.03,0.00,,,0%
209,Adani Logistics Ltd.,201403,Indian Private Sector,2005,427.96,3.23,380.49,44.24,383.72,424.73,10%,99.81%,4%
210,Adani Mining Pvt. Ltd. [Merged],201403,Indian Private Sector,2007,77.18,-8.37,72.51,13.04,64.14,85.55,17%,100.00%,0%
211,Adani Murmugao Port Terminal Pvt. Ltd.,201403,Indian Private Sector,2009,0.00,,0.01,-0.01,0.01,0.00,,,0%
212,Adani Pench Power Ltd.,201403,Indian Private Sector,2009,,,3.12,-3.12,3.12,,,,0%
213,Adani Petronet (Dahej) Port Pvt. Ltd.,201403,Indian Private Sector,2003,289.17,8.16,190.08,90.93,198.24,281.01,31%,99.88%,11%
